asset,ann_ret,bench_ret,alpha,sharpe,sharpe_bench,sortino,calmar,calmar_bench,max_dd,max_dd_bench,info_ratio,total_ret,bench_total,n_bars,total_fills,fills_per_day,spread_ann,iv_arb_ann,n_levels,level_step_bps,order_size,crisis_vol,crisis_trim,ema_len,iv_arb_weight,train_score,train_bars,test_bars,t_stat,t_df,t_pval,t_sig,sr_pval,sr_sig,boot_ci_lo,boot_ci_hi,boot_pval,boot_sig,perm_pval,perm_sig,dsr,dsr_sig,best_greek_strategy,best_greek_sharpe,greeks_ensemble_ret
GME,1.153974,-0.070448,1.224422,3.164512,-0.195710,5.865323,12.316212,-0.447187,0.093696,0.157537,23.062674,0.178688,-0.009986,52,903,17.365385,1.114617,0.109805,18,30,0.020000,0.500000,0.150000,10,0.500000,14.091942,76,52,8.704922,51,0.000000,True,0.000000,True,-1.493110,8.215677,0.109667,False,0.000000,True,0.776023,False,Gamma Scalping,0.000000,0.000000
UBER,4.617649,3.202383,1.415266,5.655350,3.978994,7.413415,34.963327,20.746806,0.132071,0.154355,22.117573,0.858749,0.537118,49,2004,40.897959,1.744331,-0.329065,18,15,0.020000,0.350000,0.150000,10,0.500000,6.609147,72,49,8.103807,48,0.000000,True,0.000000,True,3.089325,11.656831,0.000000,True,0.000000,True,0.999998,True,Gamma Scalping,0.000000,-0.385964
SQ,2.533546,0.696632,1.836914,3.922456,1.096847,6.023495,17.786814,3.982406,0.142440,0.174927,27.757555,0.405116,0.098033,49,1354,27.632653,2.010205,-0.174324,18,30,0.020000,0.500000,0.300000,10,0.300000,10.478880,72,49,10.170278,48,0.000000,True,0.000000,True,1.086987,7.667107,0.002333,True,0.000000,True,0.992064,True,Gamma Scalping,0.000000,-0.273652
SHOP,2.136480,1.079773,1.056707,4.758954,2.437131,7.067991,27.458919,11.904353,0.077806,0.090704,23.785294,0.324403,0.152574,48,1513,31.520833,1.100390,-0.043683,18,15,0.020000,0.500000,0.300000,5,0.500000,10.551757,70,48,8.625469,47,0.000000,True,0.000000,True,2.437998,8.111195,0.000000,True,0.000000,True,0.999872,True,Gamma Scalping,0.000000,-0.058358
ARM,-0.983949,-2.813435,1.829486,-1.893402,-5.202109,-2.467822,-7.384245,-8.972962,0.133250,0.313546,31.774831,-0.119002,-0.303911,47,1059,22.531915,1.755234,0.074252,18,30,0.020000,0.500000,0.150000,10,0.300000,15.850686,69,47,11.402124,46,0.000000,True,1.000000,False,-4.779826,1.233128,0.882667,False,0.000000,True,0.000000,False,Gamma Scalping,0.000000,0.000000
SMCI,-0.513638,-1.520796,1.007158,-0.513723,-1.480396,-0.429493,-1.245055,-3.406578,0.412543,0.446429,6.598142,-0.062682,-0.174414,46,715,15.543478,1.705810,-0.150940,18,50,0.020000,0.250000,0.150000,10,0.500000,20.015981,68,46,2.342363,45,0.011823,True,0.995404,False,-5.176366,9.122233,0.556333,False,0.011333,True,0.000000,False,Gamma Scalping,0.000000,0.000000
NKE,0.954505,-0.151473,1.105978,2.545021,-0.432725,6.676429,12.173303,-1.478225,0.078410,0.102469,18.787999,0.127828,-0.018909,46,873,18.978261,1.150407,-0.044429,18,30,0.020000,0.500000,0.150000,10,0.300000,16.309441,68,46,6.669803,45,0.000000,True,0.000000,True,-1.975103,5.698861,0.117000,False,0.000000,True,0.116795,False,Gamma Scalping,0.000000,-0.142771
SNOW,2.607452,1.407377,1.200075,5.700679,3.185275,12.431172,26.910082,12.772196,0.096895,0.110191,23.115968,0.398995,0.198684,47,1583,33.680851,1.302233,-0.102158,18,15,0.020000,0.500000,0.150000,10,0.300000,13.666880,69,47,8.294966,46,0.000000,True,0.000000,True,2.093481,8.897687,0.002667,True,0.000000,True,0.999998,True,Gamma Scalping,0.000000,-0.283878
GOLD,0.910592,0.534040,0.376551,7.177132,4.572190,15.210571,37.506475,15.612676,0.024278,0.034206,19.381266,0.135682,0.077474,51,584,11.450980,0.357528,0.010009,18,15,0.020000,0.250000,0.150000,10,0.300000,9.856177,75,51,7.244706,50,0.000000,True,0.000000,True,1.643664,12.586605,0.005333,True,0.000000,True,1.000000,True,Gamma Scalping,0.000000,0.000000
OIL,1.128951,0.172291,0.956660,3.808686,0.584397,6.421368,19.432187,1.506040,0.058097,0.114400,35.022084,0.167250,0.023882,50,1232,24.640000,0.908296,0.028810,18,15,0.020000,0.250000,0.150000,10,0.300000,16.457219,74,50,12.962255,49,0.000000,True,0.000000,True,-0.508941,8.577923,0.042667,False,0.000000,True,0.986803,True,Gamma Scalping,0.000000,0.000000
SILVER,0.736571,0.004954,0.731617,2.489806,0.016811,4.756556,9.294661,0.039733,0.079247,0.124678,28.302521,0.103936,0.000665,49,1173,23.938776,0.746424,-0.014806,18,15,0.020000,0.500000,0.150000,5,0.500000,11.519650,72,49,10.369951,48,0.000000,True,0.000000,True,-2.305548,7.491866,0.196000,False,0.000000,True,0.074800,False,Gamma Scalping,0.000000,0.000000
