timestamp,funding_rate,premium_mean,n_hours
2025-11-20 00:00:00+00:00,3.0383e-06,0.0124531682,1
2025-11-21 00:00:00+00:00,0.0003933135,0.065852245775,24
2025-11-22 00:00:00+00:00,0.0003280108,0.054968508425,24
2025-11-23 00:00:00+00:00,0.0003531281,0.05915466285833334,24
2025-11-24 00:00:00+00:00,0.0003684943,0.0617157476125,24
2025-11-25 00:00:00+00:00,0.0004320176,0.07230290219166667,24
2025-11-26 00:00:00+00:00,0.0010021383,0.1673230608125,24
2025-11-27 00:00:00+00:00,0.0007989576,0.13345960002916665,24
2025-11-28 00:00:00+00:00,0.0007658042,0.1279340447875,24
2025-11-29 00:00:00+00:00,0.0016373771,0.10945847339166666,24
2025-11-30 00:00:00+00:00,0.0012355525,0.0826701693125,24
2025-12-01 00:00:00+00:00,0.0016260767,0.10870509340000001,24
2025-12-02 00:00:00+00:00,0.0014249044,0.09967420383333332,24
2025-12-03 00:00:00+00:00,0.0005546927,0.0805166149875,24
2025-12-04 00:00:00+00:00,0.0005589535,0.053697177283333335,24
2025-12-05 00:00:00+00:00,0.0008654067,0.057467432783333335,24
2025-12-06 00:00:00+00:00,0.0010911157,0.06919759962083334,24
2025-12-07 00:00:00+00:00,0.0009685086,0.0642526877375,24
2025-12-08 00:00:00+00:00,0.0008898902,0.059221061108333334,24
2025-12-09 00:00:00+00:00,0.0007506022,0.050221666395833336,24
2025-12-10 00:00:00+00:00,0.0006954206,0.046594129724999996,24
2025-12-11 00:00:00+00:00,0.0006063321,0.051188294178947366,19
