timestamp,open,high,low,close,volume
2026-01-08 00:00:00+00:00,144.47,145.3,143.77,144.41,2274.077
2026-01-09 00:00:00+00:00,144.3,146.37,144.18,146.08,2390.525
2026-01-10 00:00:00+00:00,146.07,146.07,145.71,145.75,308.436
2026-01-11 00:00:00+00:00,145.74,146.22,145.73,146.16,1203.673
2026-01-12 00:00:00+00:00,146.12,148.53,143.4,146.63,6094.049
2026-01-13 00:00:00+00:00,146.53,147.58,146.06,146.5,2187.006
2026-01-14 00:00:00+00:00,146.49,146.49,143.5,144.41,3022.732
2026-01-15 00:00:00+00:00,144.48,147.52,144.26,145.71,2715.631
2026-01-16 00:00:00+00:00,145.72,146.92,145.07,145.6,1571.544
2026-01-17 00:00:00+00:00,145.61,145.62,143.34,144.17,1543.19
2026-01-18 00:00:00+00:00,144.18,144.18,141.3,143.01,2013.314
2026-01-19 00:00:00+00:00,143.0,143.01,142.6,142.84,658.196
2026-01-20 00:00:00+00:00,142.84,144.07,141.69,142.36,5955.922
2026-01-21 00:00:00+00:00,142.39,144.89,141.71,144.25,3785.791
2026-01-22 00:00:00+00:00,144.31,145.62,143.76,144.31,3285.907
2026-01-23 00:00:00+00:00,144.21,145.63,135.43,144.65,3274.336
2026-01-24 00:00:00+00:00,144.64,144.65,144.19,144.19,122.465
2026-01-25 00:00:00+00:00,144.19,154.82,143.8,143.81,2155.267
2026-01-26 00:00:00+00:00,143.82,150.0,143.82,146.24,1824.653
2026-01-27 00:00:00+00:00,146.24,149.4,146.24,148.78,975.227
2026-01-28 00:00:00+00:00,148.79,150.63,148.51,149.01,1518.458
2026-01-29 00:00:00+00:00,148.42,149.15,143.34,146.76,1320.58
2026-01-30 00:00:00+00:00,146.81,146.81,143.61,144.04,4388.588
2026-01-31 00:00:00+00:00,144.03,144.97,144.03,144.97,0.788
2026-02-01 00:00:00+00:00,144.97,146.74,141.87,142.22,434.879
2026-02-02 00:00:00+00:00,142.23,146.93,142.23,145.53,2708.101
2026-02-03 00:00:00+00:00,146.19,147.55,140.59,141.21,2542.66
2026-02-04 00:00:00+00:00,141.43,142.29,136.53,138.68,2397.253
2026-02-05 00:00:00+00:00,138.74,139.14,133.76,134.06,4932.047
2026-02-06 00:00:00+00:00,133.85,141.32,129.29,140.85,7164.359
2026-02-07 00:00:00+00:00,140.9,141.17,139.69,139.69,93.785
2026-02-08 00:00:00+00:00,139.69,139.69,139.2,139.21,45.495
2026-02-09 00:00:00+00:00,139.34,143.69,136.34,143.13,1752.804
2026-02-10 00:00:00+00:00,143.13,143.82,142.09,142.68,2861.602
2026-02-11 00:00:00+00:00,142.68,144.66,141.18,142.4,1931.441
2026-02-12 00:00:00+00:00,142.52,143.79,138.91,139.88,1731.885
2026-02-13 00:00:00+00:00,140.13,140.66,137.82,139.05,4880.673
2026-02-14 00:00:00+00:00,139.41,140.25,132.63,138.0,4999.144
2026-02-15 00:00:00+00:00,137.99,140.34,137.64,139.11,4770.715
2026-02-16 00:00:00+00:00,139.1,142.37,137.68,139.32,10887.65
2026-02-17 00:00:00+00:00,138.25,140.3,137.03,138.31,959.026
2026-02-18 00:00:00+00:00,138.06,141.8,132.44,140.57,13556.345
2026-02-19 00:00:00+00:00,140.65,141.24,138.56,139.66,19289.717
