timestamp,open,high,low,close,volume
2026-03-31 00:00:00+00:00,3.0191,3.0191,2.6598,2.7144,15633.54
2026-04-01 00:00:00+00:00,2.8833,2.8833,2.3,2.8235,43312.53
2026-04-02 00:00:00+00:00,2.8197,2.8764,2.777,2.777,318383.35
2026-04-03 00:00:00+00:00,2.8139,2.82,2.7919,2.7919,513.99
2026-04-04 00:00:00+00:00,2.8199,2.8199,2.7907,2.7907,254.14
2026-04-05 00:00:00+00:00,2.8292,2.849,2.781,2.849,88632.09
2026-04-06 00:00:00+00:00,2.8496,2.8908,2.7798,2.8172,153318.09
2026-04-07 00:00:00+00:00,2.8199,2.9036,2.6281,2.8186,130293.45
2026-04-08 00:00:00+00:00,2.8238,2.8442,2.7551,2.8442,26585.94
2026-04-09 00:00:00+00:00,2.8133,2.9916,2.688,2.8246,158335.17
2026-04-10 00:00:00+00:00,2.7871,2.8246,2.4854,2.708,178902.92
2026-04-11 00:00:00+00:00,2.708,2.94,2.318,2.7577,179370.66
2026-04-12 00:00:00+00:00,2.8527,2.8842,2.7377,2.8519,194876.06
2026-04-13 00:00:00+00:00,2.8385,3.1,2.504,2.7849,818631.72
2026-04-14 00:00:00+00:00,2.7757,2.912,2.7299,2.7534,46486.21
2026-04-15 00:00:00+00:00,2.75,2.856,2.72,2.7561,21152.71
2026-04-16 00:00:00+00:00,2.7455,2.8608,2.609,2.8608,20226.43
2026-04-17 00:00:00+00:00,2.8089,3.34,2.767,2.966,294135.41
2026-04-18 00:00:00+00:00,2.9839,3.14,2.7799,2.9112,235.57
2026-04-19 00:00:00+00:00,2.9288,2.9288,2.8383,2.8556,160995.3
2026-04-20 00:00:00+00:00,2.8583,2.865,2.8149,2.8199,50133.19
2026-04-21 00:00:00+00:00,2.8099,2.8688,2.7999,2.8407,42128.22
2026-04-22 00:00:00+00:00,2.8359,2.902,2.8289,2.8546,54467.89
2026-04-23 00:00:00+00:00,2.8661,2.8697,2.538,2.7293,40756.5
2026-04-24 00:00:00+00:00,2.6814,2.75,2.422,2.5929,22668.75
2026-04-25 00:00:00+00:00,2.5773,2.66,2.535,2.535,39.94
2026-04-26 00:00:00+00:00,2.6254,2.6873,2.6096,2.6852,18.64
2026-04-27 00:00:00+00:00,2.7035,2.7999,2.693,2.7869,307251.23
2026-04-28 00:00:00+00:00,2.7261,2.7416,2.6829,2.6829,22488.81
2026-04-29 00:00:00+00:00,2.6774,2.6979,2.6099,2.6395,251549.5
2026-04-30 00:00:00+00:00,2.6399,2.97,2.5958,2.762,138230.56
2026-05-01 00:00:00+00:00,2.7616,3.232,2.7,2.774,45372.26
2026-05-02 00:00:00+00:00,2.774,2.8645,2.7267,2.8645,60.83
2026-05-03 00:00:00+00:00,2.7001,2.8645,2.7001,2.7001,1430.16
