timestamp,open,high,low,close,volume
2026-01-29 00:00:00+00:00,89.0,89.0,74.0,81.777,14018.09
2026-01-30 00:00:00+00:00,81.777,85.0,72.2,75.222,22371.93
2026-01-31 00:00:00+00:00,74.332,78.1,74.332,76.194,778.42
2026-02-01 00:00:00+00:00,76.197,76.912,74.4,75.627,406.42
2026-02-02 00:00:00+00:00,76.256,76.26,70.101,72.772,6805.02
2026-02-03 00:00:00+00:00,72.2,80.615,71.89,76.26,7170.59
2026-02-04 00:00:00+00:00,77.81,81.92,67.785,72.12,15677.26
2026-02-05 00:00:00+00:00,71.303,73.2,63.407,63.407,10539.4
2026-02-06 00:00:00+00:00,63.76,69.376,62.0,69.265,6060.6
2026-02-07 00:00:00+00:00,69.27,72.062,68.663,70.636,1412.49
2026-02-08 00:00:00+00:00,70.636,71.45,69.25,70.918,977.02
2026-02-09 00:00:00+00:00,70.6,74.241,67.038,73.1,38302.27
2026-02-10 00:00:00+00:00,73.051,75.521,70.751,70.876,35760.68
2026-02-11 00:00:00+00:00,70.923,73.399,69.492,72.284,1832.94
2026-02-12 00:00:00+00:00,72.583,73.685,68.229,69.201,9727.13
2026-02-13 00:00:00+00:00,68.633,70.521,67.13,69.541,2289.8
2026-02-14 00:00:00+00:00,69.791,70.539,68.28,69.897,1523.09
2026-02-15 00:00:00+00:00,69.512,69.9,69.036,69.828,175.53
2026-02-16 00:00:00+00:00,69.081,69.9,69.024,69.892,121.95
2026-02-17 00:00:00+00:00,69.473,69.896,66.041,68.749,28381.78
2026-02-18 00:00:00+00:00,68.28,73.548,68.151,71.658,23354.3
2026-02-19 00:00:00+00:00,71.527,74.228,69.965,73.359,11778.6
2026-02-20 00:00:00+00:00,73.776,75.061,71.318,74.05,5834.25
2026-02-21 00:00:00+00:00,74.312,77.04,72.803,75.6,3016.41
2026-02-22 00:00:00+00:00,75.401,78.92,75.2,76.989,9081.28
2026-02-23 00:00:00+00:00,77.4,77.829,70.5,72.53,39706.96
2026-02-24 00:00:00+00:00,72.46,75.166,69.594,74.758,17233.46
2026-02-25 00:00:00+00:00,75.033,76.733,73.125,74.494,40379.99
2026-02-26 00:00:00+00:00,74.303,75.889,69.887,72.785,24186.43
2026-02-27 00:00:00+00:00,72.782,73.337,70.236,71.991,14698.78
2026-02-28 00:00:00+00:00,72.038,74.491,71.1,73.403,3324.45
2026-03-01 00:00:00+00:00,73.174,74.681,72.343,73.414,2286.3
2026-03-02 00:00:00+00:00,73.488,76.7,70.312,75.539,18294.84
2026-03-03 00:00:00+00:00,75.539,75.818,66.688,69.582,30907.02
2026-03-04 00:00:00+00:00,69.582,71.617,67.562,70.969,6482.08
2026-03-05 00:00:00+00:00,70.97,71.246,65.001,66.746,9696.67
2026-03-06 00:00:00+00:00,66.985,67.92,62.838,64.356,20562.36
