timestamp,open,high,low,close,volume
2026-01-27 00:00:00+00:00,105.0,111.95,102.45,110.76,9733.57
2026-01-28 00:00:00+00:00,111.32,114.36,103.57,105.91,7239.69
2026-01-29 00:00:00+00:00,105.46,107.44,96.79,100.01,4953.98
2026-01-30 00:00:00+00:00,99.2,100.24,92.636,92.811,3303.15
2026-01-31 00:00:00+00:00,92.962,93.249,91.952,92.786,292.5
2026-02-01 00:00:00+00:00,92.783,92.784,92.427,92.427,14.76
2026-02-02 00:00:00+00:00,92.436,94.209,87.936,89.787,3060.73
2026-02-03 00:00:00+00:00,89.888,92.193,84.305,88.9,6805.84
2026-02-04 00:00:00+00:00,88.512,91.899,76.0,84.646,5986.59
2026-02-05 00:00:00+00:00,84.451,85.071,70.795,72.395,3847.96
2026-02-06 00:00:00+00:00,70.999,90.362,70.999,90.204,4042.99
2026-02-07 00:00:00+00:00,90.19,97.737,89.637,90.723,14479.39
2026-02-08 00:00:00+00:00,91.714,94.197,90.647,91.799,844.13
2026-02-09 00:00:00+00:00,91.001,97.678,87.174,95.891,18332.39
2026-02-10 00:00:00+00:00,95.91,97.066,93.855,94.435,7865.18
2026-02-11 00:00:00+00:00,94.52,97.425,88.706,94.803,6362.49
2026-02-12 00:00:00+00:00,94.628,97.251,90.629,94.609,4381.14
2026-02-13 00:00:00+00:00,94.79,100.36,87.983,95.525,15515.97
2026-02-14 00:00:00+00:00,95.042,97.068,93.288,95.606,617.01
2026-02-15 00:00:00+00:00,95.1,95.9,95.1,95.9,236.97
2026-02-16 00:00:00+00:00,95.954,96.038,95.488,95.542,69.69
2026-02-17 00:00:00+00:00,95.541,95.542,89.022,91.022,2974.16
2026-02-18 00:00:00+00:00,90.877,97.139,87.545,95.676,24352.91
2026-02-19 00:00:00+00:00,95.84,98.663,93.059,97.79,12190.51
2026-02-20 00:00:00+00:00,97.79,98.499,84.734,88.706,8438.0
2026-02-21 00:00:00+00:00,88.407,89.695,86.116,88.282,1768.25
2026-02-22 00:00:00+00:00,87.969,88.278,87.804,88.272,70.68
2026-02-23 00:00:00+00:00,88.348,93.301,86.278,91.232,6177.11
2026-02-24 00:00:00+00:00,91.106,100.19,90.362,99.549,23630.8
2026-02-25 00:00:00+00:00,99.549,103.26,95.837,97.04,27376.92
2026-02-26 00:00:00+00:00,97.175,100.57,84.888,89.071,44980.98
2026-02-27 00:00:00+00:00,88.917,89.375,75.66,79.3,43942.54
2026-02-28 00:00:00+00:00,79.291,82.0,76.612,78.434,2601.05
2026-03-01 00:00:00+00:00,77.011,82.0,76.562,79.093,4120.27
2026-03-02 00:00:00+00:00,79.223,80.407,74.849,77.942,19393.08
2026-03-03 00:00:00+00:00,77.608,77.625,70.54,73.292,18391.21
2026-03-04 00:00:00+00:00,73.414,80.397,71.537,79.447,20979.01
2026-03-05 00:00:00+00:00,79.671,79.802,73.32,74.648,32187.75
2026-03-06 00:00:00+00:00,74.808,77.836,71.865,73.006,25583.32
2026-03-07 00:00:00+00:00,72.816,73.864,70.182,72.5,396.83
2026-03-08 00:00:00+00:00,72.672,72.675,70.2,72.044,1000.39
2026-03-09 00:00:00+00:00,71.018,74.871,69.26,74.268,30746.14
2026-03-10 00:00:00+00:00,74.065,76.554,74.005,76.193,30041.23
2026-03-11 00:00:00+00:00,76.592,83.067,76.588,80.557,32314.5
2026-03-12 00:00:00+00:00,80.019,82.434,78.546,79.636,25986.99
2026-03-13 00:00:00+00:00,79.845,84.352,78.8,81.082,33244.93
2026-03-14 00:00:00+00:00,80.967,81.142,79.429,80.307,9588.19
2026-03-15 00:00:00+00:00,80.27,82.968,79.243,82.968,1664.01
2026-03-16 00:00:00+00:00,82.229,88.35,81.663,85.573,42431.29
2026-03-17 00:00:00+00:00,85.575,85.575,81.762,82.39,31633.53
2026-03-18 00:00:00+00:00,82.503,85.029,80.183,82.455,27949.35
2026-03-19 00:00:00+00:00,82.846,83.341,78.817,80.715,25678.66
2026-03-20 00:00:00+00:00,80.928,83.079,77.925,81.646,24564.54
2026-03-21 00:00:00+00:00,81.703,82.657,79.621,79.97,2910.2
2026-03-22 00:00:00+00:00,79.814,81.518,78.129,79.36,2574.11
2026-03-23 00:00:00+00:00,79.019,85.4,78.091,81.844,74591.73
2026-03-24 00:00:00+00:00,81.837,85.066,80.256,84.018,46513.5
2026-03-25 00:00:00+00:00,84.061,88.595,83.594,87.053,22142.24
2026-03-26 00:00:00+00:00,87.144,87.685,80.205,81.072,31757.85
2026-03-27 00:00:00+00:00,81.191,82.33,73.197,74.671,46397.79
2026-03-28 00:00:00+00:00,74.684,76.049,73.89,74.525,1775.05
2026-03-29 00:00:00+00:00,74.525,74.742,73.727,74.08,346.9
2026-03-30 00:00:00+00:00,74.08,76.262,67.286,68.351,31755.43
2026-03-31 00:00:00+00:00,68.215,78.604,67.537,78.604,62758.8
2026-04-01 00:00:00+00:00,78.157,80.377,76.678,77.87,48581.35
2026-04-02 00:00:00+00:00,77.966,82.7,73.739,81.971,49800.03
2026-04-03 00:00:00+00:00,81.888,82.54,80.264,81.394,5206.3
2026-04-04 00:00:00+00:00,81.069,81.198,80.746,81.05,1849.83
2026-04-05 00:00:00+00:00,80.829,82.047,80.487,81.557,584.29
2026-04-06 00:00:00+00:00,81.231,83.703,79.669,80.878,12164.02
2026-04-07 00:00:00+00:00,80.709,89.7,79.189,89.7,18567.09
2026-04-08 00:00:00+00:00,89.7,93.616,87.373,87.778,22544.71
2026-04-09 00:00:00+00:00,87.778,96.743,84.743,91.785,57998.46
2026-04-10 00:00:00+00:00,91.796,105.97,91.26,102.71,85854.63
2026-04-11 00:00:00+00:00,102.17,105.4,101.86,103.91,4209.25
2026-04-12 00:00:00+00:00,103.97,104.2,98.271,100.04,6564.54
2026-04-13 00:00:00+00:00,100.12,114.2,98.266,112.33,39606.28
2026-04-14 00:00:00+00:00,112.29,119.0,111.67,117.01,30478.96
2026-04-15 00:00:00+00:00,116.77,121.02,112.6,118.1,20592.06
2026-04-16 00:00:00+00:00,117.74,121.96,115.09,118.76,10777.66
2026-04-17 00:00:00+00:00,119.15,121.47,116.3,117.02,17471.31
2026-04-18 00:00:00+00:00,116.48,116.74,113.22,116.11,3723.97
2026-04-19 00:00:00+00:00,116.11,116.11,111.85,114.08,4519.58
2026-04-20 00:00:00+00:00,114.48,118.2,110.82,117.35,20753.32
2026-04-21 00:00:00+00:00,117.32,120.73,114.17,117.05,11348.4
