timestamp,open,high,low,close,volume
2026-03-10 00:00:00+00:00,207.11,208.21,206.1,207.25,652.321
2026-03-11 00:00:00+00:00,207.25,209.28,199.73,207.2,424.234
2026-03-12 00:00:00+00:00,207.2,208.0,196.96,203.51,230.687
2026-03-13 00:00:00+00:00,203.5,205.92,203.04,205.0,162.881
2026-03-14 00:00:00+00:00,204.96,205.36,204.06,204.07,19.736
2026-03-15 00:00:00+00:00,203.95,204.83,203.95,204.82,3.532
2026-03-16 00:00:00+00:00,204.7,209.02,203.75,203.75,73.22
2026-03-17 00:00:00+00:00,206.01,208.24,200.32,202.8,116.098
2026-03-18 00:00:00+00:00,203.62,206.7,201.5,206.7,23.86
2026-03-19 00:00:00+00:00,204.19,204.19,196.98,201.28,39.256
2026-03-20 00:00:00+00:00,202.84,202.84,196.51,196.51,8.039
2026-03-21 00:00:00+00:00,199.1,199.66,198.7,199.66,85.749
2026-03-22 00:00:00+00:00,198.7,199.19,198.17,198.17,26.781
2026-03-23 00:00:00+00:00,198.3,199.56,196.1,199.15,12.707
2026-03-24 00:00:00+00:00,199.15,199.15,192.75,193.48,10.821
2026-03-25 00:00:00+00:00,189.39,196.57,189.39,195.98,205.872
2026-03-26 00:00:00+00:00,196.32,196.32,193.82,193.82,1.442
2026-03-27 00:00:00+00:00,191.62,191.62,188.98,188.98,8.604
2026-03-28 00:00:00+00:00,189.75,189.91,187.99,189.81,257.091
2026-03-29 00:00:00+00:00,188.7,189.66,187.65,188.57,13.432
2026-03-30 00:00:00+00:00,188.03,191.85,185.96,185.96,31.96
2026-03-31 00:00:00+00:00,188.89,190.88,187.38,190.88,2.351
2026-04-01 00:00:00+00:00,194.72,196.01,193.01,193.99,9.98
2026-04-02 00:00:00+00:00,194.25,197.5,193.3,196.34,21.787
2026-04-03 00:00:00+00:00,178.07,199.0,178.07,197.56,73.54
2026-04-04 00:00:00+00:00,195.86,196.3,195.86,196.3,1.276
2026-04-05 00:00:00+00:00,195.88,196.33,195.67,195.97,22.566
2026-04-06 00:00:00+00:00,198.95,198.95,196.0,197.47,6.658
2026-04-07 00:00:00+00:00,198.9,198.95,181.23,198.94,59.21
2026-04-08 00:00:00+00:00,199.69,203.21,198.5,203.21,105.258
2026-04-09 00:00:00+00:00,203.99,204.43,202.04,202.04,37.452
2026-04-10 00:00:00+00:00,202.31,220.0,184.05,203.93,147.1
2026-04-11 00:00:00+00:00,201.52,201.82,201.3,201.45,32.555
2026-04-12 00:00:00+00:00,201.3,201.3,200.11,200.11,30.928
2026-04-13 00:00:00+00:00,200.47,202.01,200.41,201.35,3.215
2026-04-14 00:00:00+00:00,200.23,223.0,184.0,202.28,210.774
2026-04-15 00:00:00+00:00,203.48,203.48,197.84,198.12,28.567
2026-04-16 00:00:00+00:00,195.6,200.51,194.38,195.57,1.926
2026-04-17 00:00:00+00:00,195.13,207.9,195.13,197.03,38.319
2026-04-18 00:00:00+00:00,201.0,201.0,196.06,200.09,1607.677
2026-04-19 00:00:00+00:00,197.39,197.39,188.8,196.29,1.398
2026-04-20 00:00:00+00:00,196.29,214.0,195.45,195.76,196.08
2026-04-21 00:00:00+00:00,196.89,200.24,183.6,188.22,202.1
2026-04-22 00:00:00+00:00,189.07,189.72,180.41,180.93,73.355
2026-04-23 00:00:00+00:00,181.09,181.16,178.99,178.99,118.535
2026-04-24 00:00:00+00:00,179.62,182.15,171.99,174.76,127.193
2026-04-25 00:00:00+00:00,174.47,175.13,173.05,173.05,86.362
2026-04-26 00:00:00+00:00,174.98,175.28,174.52,175.28,78.07
2026-04-27 00:00:00+00:00,174.75,176.15,172.99,172.99,319.927
2026-04-28 00:00:00+00:00,174.02,175.03,172.83,175.03,21.999
2026-04-29 00:00:00+00:00,175.75,175.84,172.4,173.93,75.953
2026-04-30 00:00:00+00:00,186.3,188.1,171.56,175.36,47.179
2026-05-01 00:00:00+00:00,171.6,177.01,171.6,174.19,83.97
2026-05-02 00:00:00+00:00,171.56,174.17,156.0,174.17,591.375
2026-05-03 00:00:00+00:00,174.31,174.31,174.04,174.04,11.823
