timestamp,open,high,low,close,volume
2026-01-30 00:00:00+00:00,156.21,163.5,146.65,149.31,1721.643
2026-01-31 00:00:00+00:00,148.4,148.55,148.1,148.1,160.597
2026-02-01 00:00:00+00:00,148.26,148.31,146.84,147.43,411.867
2026-02-02 00:00:00+00:00,147.42,173.5,139.92,145.45,3097.513
2026-02-03 00:00:00+00:00,145.54,153.09,145.29,152.62,3247.064
2026-02-04 00:00:00+00:00,152.05,162.77,137.34,142.77,3348.283
2026-02-05 00:00:00+00:00,142.72,150.0,124.66,131.8,2894.243
2026-02-06 00:00:00+00:00,132.08,144.79,131.5,142.99,3596.445
2026-02-07 00:00:00+00:00,143.46,144.89,142.77,142.77,200.126
2026-02-08 00:00:00+00:00,142.77,142.92,142.7,142.92,39.805
2026-02-09 00:00:00+00:00,142.92,149.53,142.06,149.33,1176.219
2026-02-10 00:00:00+00:00,149.32,153.7,143.26,146.04,6906.168
2026-02-11 00:00:00+00:00,146.02,150.73,141.7,146.89,4380.748
2026-02-12 00:00:00+00:00,146.93,147.67,140.33,142.05,2903.339
2026-02-13 00:00:00+00:00,142.6,145.0,133.01,143.67,3320.096
2026-02-14 00:00:00+00:00,143.04,143.1,139.6,141.12,7974.855
2026-02-15 00:00:00+00:00,141.1,144.83,135.0,142.9,548.595
2026-02-16 00:00:00+00:00,142.8,143.03,140.0,140.15,64.44
2026-02-17 00:00:00+00:00,142.77,143.57,138.43,143.57,162.424
2026-02-18 00:00:00+00:00,143.53,147.43,142.8,147.43,656.677
2026-02-19 00:00:00+00:00,147.52,148.42,144.09,146.21,2866.164
2026-02-20 00:00:00+00:00,145.09,150.89,142.89,149.52,3774.081
2026-02-21 00:00:00+00:00,149.38,150.01,147.07,147.3,22.776
2026-02-22 00:00:00+00:00,148.96,150.02,147.02,147.11,149.375
2026-02-23 00:00:00+00:00,149.25,150.05,144.54,146.48,538.207
2026-02-24 00:00:00+00:00,147.38,151.23,144.23,150.4,992.31
2026-02-25 00:00:00+00:00,150.59,152.88,150.59,150.84,418.102
2026-02-26 00:00:00+00:00,152.0,153.75,145.25,149.83,484.124
2026-02-27 00:00:00+00:00,149.47,150.4,146.8,148.65,1581.111
2026-02-28 00:00:00+00:00,148.61,149.7,145.95,147.05,85.966
2026-03-01 00:00:00+00:00,148.9,148.92,145.87,148.89,309.241
