underlying,equity_ticker,expiration,T,spot,svi_a,svi_b,svi_rho,svi_m,svi_sigma,atm_iv,n_quotes
AMZN,AMZN,2026-05-04,0.0027397260273972603,268.260009765625,-0.006289500319057445,0.04425859176890991,-0.10131491894810948,0.004843251135625546,0.14582102516768808,0.26307284262154756,91
AMZN,AMZN,2026-05-11,0.019178082191780823,268.260009765625,-0.023415332512997745,2.37676981821612,-0.9869792851288091,-0.406247239469562,0.06676294703199395,0.3316030562843919,77
AMZN,AMZN,2026-05-22,0.049315068493150684,268.260009765625,-0.36873702477177817,0.45809342203368686,-0.6337936605172214,-0.8245979858638224,1.0555379807118057,0.3322671540413075,88
AMZN,AMZN,2026-06-18,0.1232876712328767,268.260009765625,-0.09734513182981996,0.7490921736286777,0.7066383706639552,0.15195200458405117,0.18686284205467937,0.14626052529334418,116
AMZN,AMZN,2026-09-18,0.37534246575342467,268.260009765625,-0.032923330475891445,0.3121649589373793,0.219570415986984,0.04031110816167893,0.2425365121754816,0.3307616023129582,103
AMZN,AMZN,2027-01-15,0.7013698630136986,268.260009765625,0.024345679320828022,0.2773899450311467,-0.1460565895036152,-0.09395180845441511,0.23144260244741466,0.35787408333525283,119
AMZN,AMZN,2027-07-16,1.2,268.260009765625,0.14397803860792063,0.16331815193889765,-0.9989999999826686,-0.19862559231130522,0.2452397814931087,0.3686826491981616,102
AMZN,AMZN,2028-12-15,2.6191780821917807,268.260009765625,-1.7424713505556455,0.8547943516272549,-0.17313997057371555,0.22521337322087565,2.4290685952622866,0.3789486714251342,80
